built_type,year_built,flour,area,condition,bathrooms,balcony,exchange,furniture,security,ceil,parking,residance,phone,floor,door,balcony_glass,ex_dormetory,inernet,id,userType,rooms,lat,lon,district,street,house_num,price
монолитный,2004,6 из 6,61.6,,,,,,,,,,,,,,нет,,681847631,specialist,2,51.158664,71.497102,Almaty_r-n,prospekt_Shakarima_Kudayberdiuly,17/3,17999989
кирпичный,2020,4 из 10,69,черновая отделка,раздельный,несколько балконов или лоджий,,,,2.7 м,,Сарыколь,,,,,нет,,670318166,company,2,51.12639187641,71.483896763378,Almaty_r-n,R_Koshkarbaeva,15,28980000
кирпичный,1960,3 из 3,48.1,хорошее,,,Не интересует,,,,,,,,,,нет,,681814996,owner,2,51.164335,71.420386,Saryarka_r-n,Kenesary,30,20700000
монолитный,2017,5 из 13,61.6,,,,,,,2.7 м,паркинг,Самгау City,,,,,нет,,681333741,specialist,2,51.177833912649,71.390657018146,,Moskovskaya,3a,18500000
,2021,2 из 9,65,,,,Не интересует,,,3 м,,Panorama Park,,ламинат,металлическая,да,нет,,681018955,owner,2,51.099992,71.416954,Esilyskiy_r-n,Uly_Dala,7/2,42900000
монолитный,2019,3 из 6,260,,,,Не интересует,,,3.3 м,,Baisanat,,,,,нет,,680658475,company,5,51.144538484011,71.399073629236,Esilyskiy_r-n,Karashash_ana,16,500000000
монолитный,2010,21 из 42,70,хорошее,совмещенный,лоджия,,полностью,"домофон, консьерж",3 м,паркинг,Grand Alatau,,,металлическая,да,нет,,681898896,specialist,2,51.162488,71.420054,Saryarka_r-n,Zheltoksan,2/1,37990000
монолитный,2016,9 из 25,50,хорошее,совмещенный,,Не интересует,,"домофон, видеонаблюдение",2.7 м,,Территория Комфорта-2,,ламинат,металлическая,,нет,оптика,681388418,specialist,2,51.162762904276,71.44464717785,r-n_Baykonur,Taraz,2,23500000
кирпичный,2017,3 из 7,61,хорошее,раздельный,,Не интересует,,,3 м,паркинг,Expo Plaza,,,,,нет,оптика,681619642,specialist,2,51.094474948441,71.408396268898,Esilyskiy_r-n,Uly_Dala,,37500000
монолитный,2022,6 из 18,57,черновая отделка,,,,,,3 м,паркинг,Bravo Family,,,,,нет,,681664515,specialist,2,51.115647151636,71.485969345797,Almaty_r-n,Қaldayaқova,23,27000000
монолитный,2021,9 из 10,30,,,,Не интересует,полностью,,2.9 м,паркинг,Ансар,,,,,нет,,680634069,specialist,1,51.134576860646,71.37114627727,Esilyskiy_r-n,Kultegin,11/1,15500000
монолитный,2006,8 из 12,69,хорошее,раздельный,балкон,,,,2.7 м,паркинг,Салтанат,,ламинат,,да,нет,,680874174,owner,2,51.15350921018,71.446598905313,,Tashenova,17/1,24900000
,2019,2 из 3,47.3,хорошее,раздельный,,Не интересует,,домофон,2.7 м,паркинг,Астана,,,металлическая,,нет,проводной,681564277,owner,3,51.1228883829,71.261674855536,Esilyskiy_r-n,Korgalzhynskoe_shosse,13,21000000
